widthGxH, widthGxV, widthGyH, widthGyV, offsetGxH, offsetGxV, offsetGyH, offsetGyV
0.029217, 0.029976, 0.029103, 0.029553, -0.000131, -0.000436, -0.000091, -0.000392
0.029261, 0.029883, 0.029108, 0.029440, -0.000179, -0.000425, -0.000056, -0.000315
0.029215, 0.029796, 0.029129, 0.029389, -0.000175, -0.000462, -0.000062, -0.000222
0.029234, 0.029746, 0.029101, 0.029328, -0.000183, -0.000495, -0.000095, -0.000179
0.029202, 0.029663, 0.029096, 0.029326, -0.000175, -0.000560, -0.000083, -0.000184
0.029243, 0.029651, 0.029033, 0.029306, -0.000181, -0.000567, -0.000086, -0.000239
0.029196, 0.029587, 0.029025, 0.029301, -0.000194, -0.000589, -0.000077, -0.000334
0.029200, 0.029550, 0.028953, 0.029299, -0.000186, -0.000579, -0.000096, -0.000423
0.029129, 0.029502, 0.028909, 0.029369, -0.000199, -0.000556, -0.000101, -0.000466
0.029086, 0.029495, 0.028852, 0.029367, -0.000211, -0.000520, -0.000116, -0.000546
0.029048, 0.029410, 0.028791, 0.029442, -0.000207, -0.000462, -0.000090, -0.000522
0.028990, 0.029401, 0.028777, 0.029384, -0.000193, -0.000458, -0.000160, -0.000416
0.028913, 0.029347, 0.028703, 0.029411, -0.000214, -0.000463, -0.000147, -0.000326
0.028928, 0.029309, 0.028721, 0.029343, -0.000220, -0.000459, -0.000146, -0.000229
0.028913, 0.029291, 0.028686, 0.029351, -0.000225, -0.000509, -0.000145, -0.000161
0.028890, 0.029199, 0.028659, 0.029320, -0.000221, -0.000532, -0.000151, -0.000128
0.028902, 0.029206, 0.028581, 0.029309, -0.000217, -0.000556, -0.000162, -0.000162
0.028807, 0.029187, 0.028494, 0.029385, -0.000223, -0.000527, -0.000154, -0.000226
0.028789, 0.029181, 0.028446, 0.029350, -0.000210, -0.000518, -0.000134, -0.000273
0.028737, 0.029171, 0.028376, 0.029420, -0.000223, -0.000472, -0.000147, -0.000289
0.028667, 0.029177, 0.028312, 0.029384, -0.000214, -0.000435, -0.000150, -0.000273
0.028634, 0.029098, 0.028271, 0.029334, -0.000202, -0.000413, -0.000139, -0.000218
0.028597, 0.029039, 0.028254, 0.029308, -0.000210, -0.000367, -0.000151, -0.000153
0.028584, 0.028997, 0.028183, 0.029275, -0.000218, -0.000389, -0.000150, -0.000162
0.028517, 0.028952, 0.028170, 0.029155, -0.000211, -0.000425, -0.000175, -0.000191
0.028497, 0.028932, 0.028130, 0.029188, -0.000180, -0.000440, -0.000138, -0.000241
0.028484, 0.028893, 0.028108, 0.029151, -0.000212, -0.000472, -0.000172, -0.000314
0.028417, 0.028838, 0.027997, 0.029194, -0.000202, -0.000520, -0.000121, -0.000388
0.028407, 0.028868, 0.027996, 0.029222, -0.000193, -0.000528, -0.000134, -0.000453
0.028344, 0.028822, 0.027922, 0.029245, -0.000165, -0.000500, -0.000124, -0.000462
0.028278, 0.028792, 0.027799, 0.029283, -0.000192, -0.000469, -0.000138, -0.000418
0.028166, 0.028773, 0.027772, 0.029313, -0.000202, -0.000458, -0.000135, -0.000393
0.028110, 0.028716, 0.027663, 0.029332, -0.000199, -0.000437, -0.000132, -0.000350
0.028091, 0.028751, 0.027633, 0.029389, -0.000215, -0.000401, -0.000148, -0.000346
0.028044, 0.028739, 0.027564, 0.029431, -0.000238, -0.000396, -0.000140, -0.000382
0.028049, 0.028761, 0.027562, 0.029406, -0.000223, -0.000413, -0.000177, -0.000391
0.028014, 0.028772, 0.027553, 0.029359, -0.000211, -0.000398, -0.000136, -0.000443
0.027986, 0.028737, 0.027570, 0.029227, -0.000223, -0.000392, -0.000131, -0.000427
0.027945, 0.028669, 0.027623, 0.029069, -0.000208, -0.000394, -0.000109, -0.000441
0.027945, 0.028615, 0.027555, 0.029019, -0.000213, -0.000346, -0.000144, -0.000407
0.027902, 0.028542, 0.027543, 0.028941, -0.000219, -0.000348, -0.000156, -0.000389
0.027825, 0.028521, 0.027529, 0.028870, -0.000227, -0.000357, -0.000180, -0.000388
0.027843, 0.028467, 0.027420, 0.028977, -0.000220, -0.000301, -0.000141, -0.000358
0.027790, 0.028459, 0.027360, 0.028980, -0.000228, -0.000324, -0.000143, -0.000389
0.027726, 0.028424, 0.027314, 0.029040, -0.000215, -0.000306, -0.000119, -0.000443
0.027717, 0.028385, 0.027312, 0.029062, -0.000224, -0.000309, -0.000160, -0.000451
0.027633, 0.028383, 0.027217, 0.029040, -0.000219, -0.000317, -0.000154, -0.000475
0.027616, 0.028366, 0.027236, 0.028924, -0.000235, -0.000348, -0.000142, -0.000485
0.027580, 0.028357, 0.027238, 0.028801, -0.000222, -0.000332, -0.000151, -0.000485
0.026561, 0.027160, 0.026010, 0.027417, -0.000169, -0.000447, -0.000139, -0.000249
0.026540, 0.027097, 0.025962, 0.027406, -0.000162, -0.000421, -0.000133, -0.000274
0.026507, 0.027113, 0.025898, 0.027432, -0.000185, -0.000437, -0.000139, -0.000247
0.026491, 0.027063, 0.025907, 0.027436, -0.000174, -0.000398, -0.000147, -0.000288
0.026486, 0.027037, 0.025854, 0.027399, -0.000150, -0.000374, -0.000126, -0.000253
0.026450, 0.026994, 0.025815, 0.027348, -0.000153, -0.000383, -0.000123, -0.000295
0.026432, 0.026943, 0.025801, 0.027314, -0.000170, -0.000328, -0.000162, -0.000281
0.026399, 0.026900, 0.025793, 0.027274, -0.000165, -0.000319, -0.000144, -0.000286
0.026377, 0.026843, 0.025735, 0.027213, -0.000155, -0.000297, -0.000142, -0.000255
0.026326, 0.026778, 0.025692, 0.027191, -0.000163, -0.000310, -0.000129, -0.000243
0.026316, 0.026771, 0.025683, 0.027175, -0.000170, -0.000291, -0.000138, -0.000219
0.026298, 0.026669, 0.025639, 0.027130, -0.000155, -0.000301, -0.000132, -0.000201
0.026297, 0.026622, 0.025662, 0.027080, -0.000149, -0.000292, -0.000134, -0.000214
0.026264, 0.026558, 0.025607, 0.027040, -0.000151, -0.000291, -0.000150, -0.000238
0.026285, 0.026510, 0.025600, 0.027070, -0.000152, -0.000305, -0.000158, -0.000291
0.026207, 0.026486, 0.025572, 0.027015, -0.000133, -0.000285, -0.000115, -0.000301
